location,year,category,rank,query,query_en
Global,2001,Consumer Brands,1,Nokia,Nokia
Global,2001,Consumer Brands,2,Sony,Sony
Global,2001,Consumer Brands,3,BMW,BMW
Global,2001,Consumer Brands,4,Palm,Palm
Global,2001,Consumer Brands,5,Adobe,Adobe
Global,2001,Men,1,Nostradamus,Nostradamus
Global,2001,Men,2,Osama bin Laden,Osama bin Laden
Global,2001,Men,3,Eminem,Eminem
Global,2001,Men,4,Michael Jackson,Michael Jackson
Global,2001,Men,5,Howard Stern,Howard Stern
Global,2001,Movies,1,Harry Potter,Harry Potter
Global,2001,Movies,2,Lord of the Rings,Lord of the Rings
Global,2001,Movies,3,Final Fantasy,Final Fantasy
Global,2001,Movies,4,Tomb Raider,Tomb Raider
Global,2001,Movies,5,Shrek,Shrek
Global,2001,MP3 Music Services,1,Morpheus,Morpheus
Global,2001,MP3 Music Services,2,Napster,Napster
Global,2001,MP3 Music Services,3,Gnutella,Gnutella
Global,2001,MP3 Music Services,4,Kazaa,Kazaa
Global,2001,MP3 Music Services,5,Audiogalaxy,Audiogalaxy
Global,2001,Music Groups,1,Beatles,Beatles
Global,2001,Music Groups,2,U2,U2
Global,2001,Music Groups,3,N Sync,N Sync
Global,2001,Music Groups,4,Backstreet Boys,Backstreet Boys
Global,2001,Music Groups,5,Linkin Park,Linkin Park
Global,2001,New Products,1,Windows XP,Windows XP
Global,2001,New Products,2,Xbox,Xbox
Global,2001,New Products,3,PlayStation 2,PlayStation 2
Global,2001,New Products,4,GameCube,GameCube
Global,2001,New Products,5,Nokia 5510,Nokia 5510
Global,2001,News Resources,1,CNN,CNN
Global,2001,News Resources,2,BBC,BBC
Global,2001,News Resources,3,New York Times,New York Times
Global,2001,News Resources,4,MSNBC,MSNBC
Global,2001,News Resources,5,Washington Post,Washington Post
Global,2001,Retailers,1,Amazon,Amazon
Global,2001,Retailers,2,IKEA,IKEA
Global,2001,Retailers,3,"Toys ""R"" Us","Toys ""R"" Us"
Global,2001,Retailers,4,Walmart,Walmart
Global,2001,Retailers,5,Circuit City,Circuit City
Global,2001,Sports,1,Anna Kournikova,Anna Kournikova
Global,2001,Sports,2,Tour de France,Tour de France
Global,2001,Sports,3,Dale Earnhardt,Dale Earnhardt
Global,2001,Sports,4,Wimbledon,Wimbledon
Global,2001,Sports,5,US Open,US Open
Global,2001,TV Shows,1,Loft Story,Loft Story
Global,2001,TV Shows,2,Big Brother,Big Brother
Global,2001,TV Shows,3,The Simpsons,The Simpsons
Global,2001,TV Shows,4,Survivor,Survivor
Global,2001,TV Shows,5,Gran Hermano,Big Brother
Global,2001,Video Games,1,Counterstrike,Counterstrike
Global,2001,Video Games,2,The Sims,The Sims
Global,2001,Video Games,3,Operation Flashpoint,Operation Flashpoint
Global,2001,Video Games,4,Moorhuhn 3,Moorhuhn 3
Global,2001,Video Games,5,Wolfenstein,Wolfenstein
Global,2001,Women,1,Britney Spears,Britney Spears
Global,2001,Women,2,Pamela Anderson,Pamela Anderson
Global,2001,Women,3,Jennifer Lopez,Jennifer Lopez
Global,2001,Women,4,Madonna,Madonna
Global,2001,Women,5,Aaliyah,Aaliyah
Global,2002,Athletes,1,David Beckham,David Beckham
Global,2002,Athletes,2,Anna Kournikova,Anna Kournikova
Global,2002,Athletes,3,Ronaldo,Ronaldo
Global,2002,Athletes,4,Kobe Bryant,Kobe Bryant
Global,2002,Athletes,5,Zinedine Zidane,Zinedine Zidane
Global,2002,Consumer Brands,1,Ferrari,Ferrari
Global,2002,Consumer Brands,2,Sony,Sony
Global,2002,Consumer Brands,3,Nokia,Nokia
Global,2002,Consumer Brands,4,Disney,Disney
Global,2002,Consumer Brands,5,IKEA,IKEA
Global,2002,Kids' Images,1,The Simpsons,The Simpsons
Global,2002,Kids' Images,2,Pokémon,Pokémon
Global,2002,Kids' Images,3,Snoopy,Snoopy
Global,2002,Kids' Images,4,Superman,Superman
Global,2002,Kids' Images,5,Batman,Batman
Global,2002,Men,1,Eminem,Eminem
Global,2002,Men,2,Brad Pitt,Brad Pitt
Global,2002,Men,3,David Beckham,David Beckham
Global,2002,Men,4,Josh Hartnett,Josh Hartnett
Global,2002,Men,5,2Pac,2Pac
Global,2002,Movies,1,Spiderman,Spiderman
Global,2002,Movies,2,Harry Potter,Harry Potter
Global,2002,Movies,3,Star Wars,Star Wars
Global,2002,Movies,4,Jackass,Jackass
Global,2002,Movies,5,Scooby Doo,Scooby Doo
Global,2002,Musicians and Bands,1,Eminem,Eminem
Global,2002,Musicians and Bands,2,Shakira,Shakira
Global,2002,Musicians and Bands,3,Madonna,Madonna
Global,2002,Musicians and Bands,4,Nelly,Nelly
Global,2002,Musicians and Bands,5,2Pac,2Pac
Global,2002,News Stories,1,World Cup,World Cup
Global,2002,News Stories,2,Iraq,Iraq
